lambda = 1.0292696094182796e-05, training accuracy = 58.96%, validation accuracy = 51.44%
lambda = 1.0566050340490728e-05, training accuracy = 59.08%, validation accuracy = 52.02%
lambda = 1.2569929591735659e-05, training accuracy = 58.88%, validation accuracy = 52.02%
lambda = 1.3652978859256149e-05, training accuracy = 58.79%, validation accuracy = 52.12%
lambda = 1.629325483591517e-05, training accuracy = 59.14%, validation accuracy = 52.02%
lambda = 1.7400000109550375e-05, training accuracy = 58.98%, validation accuracy = 52.38%
lambda = 1.7400215668060677e-05, training accuracy = 59.01%, validation accuracy = 52.04%
lambda = 1.8542267390071012e-05, training accuracy = 58.75%, validation accuracy = 51.82%
lambda = 2.0201415743780394e-05, training accuracy = 58.74%, validation accuracy = 52.00%
lambda = 2.196660509944837e-05, training accuracy = 58.68%, validation accuracy = 52.40%
lambda = 2.2260361923160465e-05, training accuracy = 58.73%, validation accuracy = 52.24%
lambda = 2.3373631207259713e-05, training accuracy = 58.77%, validation accuracy = 52.16%
lambda = 2.967323744837155e-05, training accuracy = 59.02%, validation accuracy = 52.10%
lambda = 3.4485804171168945e-05, training accuracy = 58.86%, validation accuracy = 51.68%
lambda = 3.5163808773150673e-05, training accuracy = 58.67%, validation accuracy = 51.28%
lambda = 4.1105192321981874e-05, training accuracy = 58.46%, validation accuracy = 51.52%
lambda = 4.8782576990720456e-05, training accuracy = 58.50%, validation accuracy = 52.38%
lambda = 5.362003972462448e-05, training accuracy = 58.89%, validation accuracy = 51.98%
lambda = 6.214881162682266e-05, training accuracy = 58.12%, validation accuracy = 51.48%
lambda = 6.384885923829076e-05, training accuracy = 58.59%, validation accuracy = 51.96%
lambda = 7.596993400783993e-05, training accuracy = 58.86%, validation accuracy = 51.76%
lambda = 7.780627655831072e-05, training accuracy = 58.63%, validation accuracy = 52.18%
lambda = 8.067378255745886e-05, training accuracy = 58.92%, validation accuracy = 51.78%
lambda = 8.646178729840315e-05, training accuracy = 58.57%, validation accuracy = 51.70%
lambda = 9.269689198345785e-05, training accuracy = 58.70%, validation accuracy = 51.68%
lambda = 0.00010117388385248781, training accuracy = 58.93%, validation accuracy = 51.74%
lambda = 0.00010653766777241899, training accuracy = 58.83%, validation accuracy = 51.42%
lambda = 0.000111370378451466, training accuracy = 58.69%, validation accuracy = 52.10%
lambda = 0.00011339638691570848, training accuracy = 58.90%, validation accuracy = 52.52%
lambda = 0.0001322500383109426, training accuracy = 58.66%, validation accuracy = 52.46%
lambda = 0.0001331094999286319, training accuracy = 59.02%, validation accuracy = 52.36%
lambda = 0.00014928158327727988, training accuracy = 58.67%, validation accuracy = 51.94%
lambda = 0.00016551254230445838, training accuracy = 58.68%, validation accuracy = 52.08%
lambda = 0.00016672590313877563, training accuracy = 58.62%, validation accuracy = 51.68%
lambda = 0.00018799041868715121, training accuracy = 58.71%, validation accuracy = 52.30%
lambda = 0.00018896798566295396, training accuracy = 59.02%, validation accuracy = 52.40%
lambda = 0.00020229166153840048, training accuracy = 58.59%, validation accuracy = 52.22%
lambda = 0.0002306637542295201, training accuracy = 58.27%, validation accuracy = 52.44%
lambda = 0.00025260268591351435, training accuracy = 58.72%, validation accuracy = 51.90%
lambda = 0.000303412674785813, training accuracy = 58.64%, validation accuracy = 52.00%
lambda = 0.0003237024718854795, training accuracy = 58.57%, validation accuracy = 51.70%
lambda = 0.0003317286185012101, training accuracy = 58.65%, validation accuracy = 52.50%
lambda = 0.0005025663480574085, training accuracy = 58.77%, validation accuracy = 51.92%
lambda = 0.0005699103012200174, training accuracy = 58.66%, validation accuracy = 51.82%
lambda = 0.0005807971655412053, training accuracy = 58.50%, validation accuracy = 51.22%
lambda = 0.0006244453001912906, training accuracy = 58.56%, validation accuracy = 51.86%
lambda = 0.0006246592215568911, training accuracy = 58.73%, validation accuracy = 52.90%
lambda = 0.0006434679291930803, training accuracy = 58.47%, validation accuracy = 51.94%
lambda = 0.0006746888272794934, training accuracy = 58.73%, validation accuracy = 51.90%
lambda = 0.0007021878150161644, training accuracy = 58.46%, validation accuracy = 52.18%
lambda = 0.0007461787215474221, training accuracy = 58.46%, validation accuracy = 52.32%
lambda = 0.0007730255340781429, training accuracy = 58.60%, validation accuracy = 52.80%
lambda = 0.000852467337841869, training accuracy = 58.51%, validation accuracy = 52.12%
lambda = 0.0009844056327919528, training accuracy = 58.26%, validation accuracy = 52.36%
lambda = 0.0011225295716267671, training accuracy = 58.25%, validation accuracy = 52.16%
lambda = 0.001333166389291712, training accuracy = 58.16%, validation accuracy = 51.42%
lambda = 0.001350143985458022, training accuracy = 58.02%, validation accuracy = 51.68%
lambda = 0.0014004414195479882, training accuracy = 58.03%, validation accuracy = 52.58%
lambda = 0.0027509534253683508, training accuracy = 57.59%, validation accuracy = 51.98%
lambda = 0.002780173660179607, training accuracy = 57.65%, validation accuracy = 51.70%
lambda = 0.0028258084633128863, training accuracy = 57.50%, validation accuracy = 51.46%
lambda = 0.0035357904178553667, training accuracy = 57.19%, validation accuracy = 51.90%
lambda = 0.004360109455220118, training accuracy = 56.72%, validation accuracy = 51.64%
