
Exercise 4, ConvNet_no_smoothing, 49000 train, 4 threads
Training ConvNet_no_smoothing: f=4 nf=40 nh=300
Initial validation loss: 2.3364, Initial validation accuracy: 0.0970
Initial training loss: 2.3372, Initial training accuracy: 0.1120
Update step 400/24000, Cycle 1/4, Cycle step 400/800, Learning rate: 0.049880, Train loss: 1.3447, Train accuracy: 0.5900, Validation loss: 1.6036, Validation accuracy: 0.4430
Update step 800/24000, Cycle 1/4, Cycle step 800/800, Learning rate: 0.099875, Train loss: 1.1035, Train accuracy: 0.6800, Validation loss: 1.4274, Validation accuracy: 0.5110
Update step 1200/24000, Cycle 1/4, Cycle step 1200/800, Learning rate: 0.050130, Train loss: 1.0765, Train accuracy: 0.5900, Validation loss: 1.2421, Validation accuracy: 0.5630
Update step 1600/24000, Cycle 1/4, Cycle step 1600/800, Learning rate: 0.000135, Train loss: 1.1670, Train accuracy: 0.6000, Validation loss: 1.1804, Validation accuracy: 0.5940
Update step 2000/24000, Cycle 2/4, Cycle step 400/1600, Learning rate: 0.024945, Train loss: 1.0651, Train accuracy: 0.6000, Validation loss: 1.2019, Validation accuracy: 0.5820
Update step 2400/24000, Cycle 2/4, Cycle step 800/1600, Learning rate: 0.049943, Train loss: 0.9632, Train accuracy: 0.6800, Validation loss: 1.1829, Validation accuracy: 0.5910
Update step 2800/24000, Cycle 2/4, Cycle step 1200/1600, Learning rate: 0.074940, Train loss: 0.7389, Train accuracy: 0.8400, Validation loss: 1.1738, Validation accuracy: 0.6020
Update step 3200/24000, Cycle 2/4, Cycle step 1600/1600, Learning rate: 0.099938, Train loss: 0.8653, Train accuracy: 0.7200, Validation loss: 1.2262, Validation accuracy: 0.5680
Update step 3600/24000, Cycle 2/4, Cycle step 2000/1600, Learning rate: 0.075065, Train loss: 0.6813, Train accuracy: 0.7900, Validation loss: 1.1189, Validation accuracy: 0.6080
Update step 4000/24000, Cycle 2/4, Cycle step 2400/1600, Learning rate: 0.050067, Train loss: 0.5611, Train accuracy: 0.8500, Validation loss: 1.0692, Validation accuracy: 0.6290
Update step 4400/24000, Cycle 2/4, Cycle step 2800/1600, Learning rate: 0.025070, Train loss: 0.6428, Train accuracy: 0.8300, Validation loss: 1.0248, Validation accuracy: 0.6470
Update step 4800/24000, Cycle 2/4, Cycle step 3200/1600, Learning rate: 0.000072, Train loss: 0.8868, Train accuracy: 0.7300, Validation loss: 1.0122, Validation accuracy: 0.6430
Update step 5200/24000, Cycle 3/4, Cycle step 400/3200, Learning rate: 0.012478, Train loss: 0.6084, Train accuracy: 0.8000, Validation loss: 1.0251, Validation accuracy: 0.6460
Update step 5600/24000, Cycle 3/4, Cycle step 800/3200, Learning rate: 0.024976, Train loss: 0.4863, Train accuracy: 0.8700, Validation loss: 1.0407, Validation accuracy: 0.6390
Update step 6000/24000, Cycle 3/4, Cycle step 1200/3200, Learning rate: 0.037475, Train loss: 0.4873, Train accuracy: 0.8800, Validation loss: 1.0905, Validation accuracy: 0.6070
Update step 6400/24000, Cycle 3/4, Cycle step 1600/3200, Learning rate: 0.049974, Train loss: 0.3796, Train accuracy: 0.9200, Validation loss: 1.1273, Validation accuracy: 0.5990
Update step 6800/24000, Cycle 3/4, Cycle step 2000/3200, Learning rate: 0.062473, Train loss: 0.4138, Train accuracy: 0.9300, Validation loss: 1.0810, Validation accuracy: 0.6230
