
Exercise 4, ConvNet_smoothing, 49000 train, 4 threads
Training ConvNet_smoothing: f=4 nf=40 nh=300
Initial validation loss: 2.4850, Initial validation accuracy: 0.0970
Initial training loss: 2.4629, Initial training accuracy: 0.1009
Update step 400/24000, Cycle 1/4, Cycle step 400/800, Learning rate: 0.049880, Train loss: 1.3564, Train accuracy: 0.6200, Validation loss: 1.5960, Validation accuracy: 0.4640
Update step 800/24000, Cycle 1/4, Cycle step 800/800, Learning rate: 0.099875, Train loss: 1.0474, Train accuracy: 0.6600, Validation loss: 1.4092, Validation accuracy: 0.5210
Update step 1200/24000, Cycle 1/4, Cycle step 1200/800, Learning rate: 0.050130, Train loss: 0.9885, Train accuracy: 0.7200, Validation loss: 1.3091, Validation accuracy: 0.5520
Update step 1600/24000, Cycle 1/4, Cycle step 1600/800, Learning rate: 0.000135, Train loss: 1.2884, Train accuracy: 0.5400, Validation loss: 1.2549, Validation accuracy: 0.5830
Update step 2000/24000, Cycle 2/4, Cycle step 400/1600, Learning rate: 0.024945, Train loss: 1.1806, Train accuracy: 0.6100, Validation loss: 1.2678, Validation accuracy: 0.5780
Update step 2400/24000, Cycle 2/4, Cycle step 800/1600, Learning rate: 0.049943, Train loss: 1.1101, Train accuracy: 0.6500, Validation loss: 1.2641, Validation accuracy: 0.5780
Update step 2800/24000, Cycle 2/4, Cycle step 1200/1600, Learning rate: 0.074940, Train loss: 0.9639, Train accuracy: 0.7700, Validation loss: 1.2608, Validation accuracy: 0.5700
Update step 3200/24000, Cycle 2/4, Cycle step 1600/1600, Learning rate: 0.099938, Train loss: 0.7962, Train accuracy: 0.8600, Validation loss: 1.2177, Validation accuracy: 0.5840
Update step 3600/24000, Cycle 2/4, Cycle step 2000/1600, Learning rate: 0.075065, Train loss: 0.8922, Train accuracy: 0.7800, Validation loss: 1.2037, Validation accuracy: 0.5900
Update step 4000/24000, Cycle 2/4, Cycle step 2400/1600, Learning rate: 0.050067, Train loss: 0.7547, Train accuracy: 0.8400, Validation loss: 1.1302, Validation accuracy: 0.6260
Update step 4400/24000, Cycle 2/4, Cycle step 2800/1600, Learning rate: 0.025070, Train loss: 0.9004, Train accuracy: 0.7500, Validation loss: 1.1001, Validation accuracy: 0.6290
Update step 4800/24000, Cycle 2/4, Cycle step 3200/1600, Learning rate: 0.000072, Train loss: 0.9319, Train accuracy: 0.7000, Validation loss: 1.0839, Validation accuracy: 0.6270
Update step 5200/24000, Cycle 3/4, Cycle step 400/3200, Learning rate: 0.012478, Train loss: 0.8111, Train accuracy: 0.8000, Validation loss: 1.0898, Validation accuracy: 0.6400
Update step 5600/24000, Cycle 3/4, Cycle step 800/3200, Learning rate: 0.024976, Train loss: 0.6924, Train accuracy: 0.8800, Validation loss: 1.1023, Validation accuracy: 0.6250
Update step 6000/24000, Cycle 3/4, Cycle step 1200/3200, Learning rate: 0.037475, Train loss: 0.6908, Train accuracy: 0.8600, Validation loss: 1.0985, Validation accuracy: 0.6510
Update step 6400/24000, Cycle 3/4, Cycle step 1600/3200, Learning rate: 0.049974, Train loss: 0.7093, Train accuracy: 0.8600, Validation loss: 1.0977, Validation accuracy: 0.6370
Update step 6800/24000, Cycle 3/4, Cycle step 2000/3200, Learning rate: 0.062473, Train loss: 0.7281, Train accuracy: 0.8000, Validation loss: 1.2026, Validation accuracy: 0.5890
Update step 7200/24000, Cycle 3/4, Cycle step 2400/3200, Learning rate: 0.074971, Train loss: 0.6456, Train accuracy: 0.8800, Validation loss: 1.1182, Validation accuracy: 0.6250
Update step 7600/24000, Cycle 3/4, Cycle step 2800/3200, Learning rate: 0.087470, Train loss: 0.5966, Train accuracy: 0.8800, Validation loss: 1.1265, Validation accuracy: 0.6170
